"Borough","CommunityBoard","CouncilDistrict","DispenserUnitLocation","GISPropNum","InstallationDate","Location","Manufacturer","MountingSurface","OBJECTID","OMPPropID","ParkDistrict","Precinct","PropertyName","RestockedBy","SubPropertyName","ZIPCode","point"
"X",205,14,"Park Perimeter","X158","","","Mitt Mutt","Paved Surface",14417,"","X-05",46,"Sedgwick Playground","Parks","",10453,"POINT (-73.9239648163788 40.845834514342144)"
"Q",401,22,"Near Entrance","Q004","2017-12-21 05:00:00.0000000","19th Street and 24th Ave on right","Mitt Mutt","Unpaved Surface",3613,"Q004-ZN02","Q-01",114,"Astoria Park","Parks","Astoria Park Zone 2",11105,"POINT (-73.92268033339549 40.77752469175466)"
"R",501,49,"Near Entrance","R022","2018-06-21 04:00:00.0000000","Victory bvld","Mitt Mutt","Wrought Iron Fence",5617,"R022-ZN01","R-01",120,"Silver Lake Park","Parks","Silver Lake Park Zone 1",10301,"POINT (-74.09393692695016 40.62464560303425)"
"B",316,41,"Near Entrance","B228","2018-03-07 05:00:00.0000000","R. of courts entrance on Mother Gaston","Mitt Mutt","Paved Surface",3624,"","B-16",73,"Dr. Green Playground","","",11212,"POINT (-73.9063558630735 40.667093373042654)"
"",305,37,"Park Perimeter","","2018-03-28 04:00:00.0000000","Corner of Arlington and Jamaica","Mitt Mutt","Unpaved Surface",5604,"","",75,"","Parks","",11207,"POINT (-73.8943712364933 40.679473593360306)"
"B",318,45,"Near Entrance","B236","2017-12-28 05:00:00.0000000","Left side of 59 St entrance on Farragut","Mitt Mutt","Paved Surface",3223,"","B-18",63,"Glenwood Playground","","",11234,"POINT (-73.92012174439635 40.636871988772434)"
"Q",401,22,"Near Entrance","Q004","2017-12-21 05:00:00.0000000","19th St. and 23rd Rd.","Mutt Mitt","Unpaved Surface",3603,"Q004-ZN02","Q-01",114,"Astoria Park","Parks","Astoria Park Zone 2",11105,"POINT (-73.92085728582862 40.77903969330477)"
"X",204,16,"Near Entrance","X168","","","Mitt Mutt","Wall",13604,"","X-04",44,"Nelson Playground","Parks","",10452,"POINT (-73.92650433715411 40.83478361840083)"
"X",211,12,"Near Entrance","X087","","","Mitt Mutt","Wrought Iron Fence",20803,"","X-11",49,"Zimmerman Playground","Parks","",10467,"POINT (-73.86847084328107 40.8661094615229)"
"B",308,41,"Park Perimeter","B054","2018-03-12 04:00:00.0000000","","Mitt Mutt","Wrought Iron Fence",6042,"B054-ZN01","B-08",77,"Lincoln Terrace / Arthur S. Somers Park","Parks","Lincoln Terr Pk/Arthur S Somers Zone 1",11213,"POINT (-73.92848329058097 40.665912598085534)"
"Q",305,37,"Near Entrance","Q020Group","2018-03-29 04:00:00.0000000","Jamaica Ave. and Elton St.","Mitt Mutt","Unpaved Surface",3635,"Q020-ZN04","Q-05A",75,"Highland Park","Parks","Highland Park Zone 4",11208,"POINT (-73.8856089340225 40.683874664527906)"
"B",312,39,"Park Perimeter","B065","2018-03-12 04:00:00.0000000","","Mitt Mutt","Paved Surface",5636,"B065-ZN01","B-12",66,"Ocean Parkway Malls","Parks","Ocean Parkway Malls Zone 1",11218,"POINT (-73.97383922342446 40.64080543252913)"
"X",207,11,"Park Perimeter","X033","","","Mitt Mutt","Unpaved Surface",16006,"X033-ZN03","X-07",52,"Mosholu Parkway","Parks","Mosholu Parkway Zone 3",10458,"POINT (-73.88244483962022 40.87231323790873)"
"M",103,1,"Park Perimeter","M206","","By Cherry St entrance","Mitt Mutt","Wrought Iron Fence",33206,"","M-03",5,"Tanahey Playground","Parks","",10002,"POINT (-73.9957788756276 40.710198166242044)"
"X",210,13,"Park Perimeter","X121","","","Mitt Mutt","Chain Link Fence",17211,"","X-10",45,"Bufano Park","Parks","",10461,"POINT (-73.83118954731043 40.83771685115958)"
"B",315,48,"Near Entrance","B109","2018-01-26 05:00:00.0000000","Left of AF entrance on E 24 St","Mitt Mutt","Unpaved Surface",3245,"","B-15",61,"Bill Brown Playground","","",11235,"POINT (-73.94617477115962 40.59283698260442)"
"X",202,17,"Park Perimeter","X305","","","Mitt Mutt","Unpaved Surface",26403,"","X-14",41,"Concrete Plant Park","Parks","",10459,"POINT (-73.88486910538599 40.82804675229728)"
"B",305,42,"Near Entrance","B149B","2018-01-31 05:00:00.0000000","R of Linwood St entrance","Mitt Mutt","Unpaved Surface",6064,"","B-05",75,"Linwood Playground","","",11208,"POINT (-73.88026911270036 40.66625157785915)"
"Q",407,20,"Near Entrance","Q300Group","2018-08-22 04:00:00.0000000","ramp at Elder Ave and Byrd St.","Mitt Mutt","Unpaved Surface",4003,"Q300-ZN01","Q-07",109,"Kissena Corridor Park","Parks","Kissena Corridor West Zone 1",11355,"POINT (-73.82474976273791 40.75139758233149)"
"Q",401,22,"Near Entrance","Q066F","2017-12-21 05:00:00.0000000","Hoyt Ave. N entrancein between. two BBCT","Mutt Mitt","Unpaved Surface",3208,"","Q-01",114,"Hoyt Playground","Parks","",11102,"POINT (-73.9175798341082 40.771249283647755)"
"X",208,14,"Park Perimeter","X150I","","500 ft from 233 st on CLF","Mitt Mutt","Chain Link Fence",17206,"","X-08",50,"Cooney Grauer Field","Parks","",10463,"POINT (-73.90127744570677 40.8799017220594)"
"X",211,13,"Park Interior","X003","","","Mitt Mutt","Unpaved Surface",21209,"X003-ZN02","X-11",49,"Pelham Parkway","Parks","Pelham Parkway Zone 2",10469,"POINT (-73.85125154060887 40.8585015136596)"
"X",209,18,"Park Perimeter","X151","","","Mitt Mutt","Chain Link Fence",17212,"","X-09",43,"P.O. Serrano Playground","Parks","",10473,"POINT (-73.85201065414245 40.82358397579507)"
"X",204,16,"Park Perimeter","X008","","behind retaining wall near steps","Mitt Mutt","Wall",7225,"X008-ZN02","X-04",44,"Claremont Park","Parks","Claremont Zone 2",10457,"POINT (-73.90561489691251 40.840001262015456)"
"Q",305,37,"Park Interior","Q020Group","2018-03-29 04:00:00.0000000","Sunnyside Ave. next to tennis","Mitt Mutt","Unpaved Surface",11614,"Q020-ZN04","Q-05A",75,"Highland Park","Parks","Highland Park Zone 4",11208,"POINT (-73.88866590424226 40.683281406897336)"
"R",503,50,"Park Perimeter","R072","","","Mitt Mutt","Paved Surface",19205,"","R-03",122,"Clawson Playground","Parks","",10306,"POINT (-74.12320996887473 40.560735994879494)"
"M",111,8,"Park Perimeter","M292","","101 St between 3rd Ave & Lexington","Mitt Mutt","Wrought Iron Fence",34805,"","M-11",23,"Sunshine Playground","Parks","",10029,"POINT (-73.9477461925029 40.78858997007796)"
"R",501,49,"Park Perimeter","R028","2018-06-22 04:00:00.0000000","Near entrance","Mitt Mutt","Unpaved Surface",8807,"","R-01",120,"Tappen Park","Parks","",10304,"POINT (-74.07609423889664 40.62706672907483)"
"X",206,15,"Park Perimeter","X289","","5 ft from entrance.","Mitt Mutt","Chain Link Fence",7208,"","X-06",48,"Mapes Park","Parks","",10460,"POINT (-73.88624802850175 40.84747601839736)"
"",207,14,"Park Perimeter","X013","","","Mitt Mutt","Wrought Iron Fence",14405,"","X-05",52,"Devoe Park","Parks","",10468,"POINT (-73.90849063749602 40.8632894662082)"
"X",202,17,"Park Perimeter","X190","","at main gate on Fox Street on WIF","Mitt Mutt","Wrought Iron Fence",3642,"","X-02",41,"Tiffany Playground","Parks","",10459,"POINT (-73.8939677488617 40.82468935107211)"
"B",301,34,"Near Entrance","B142","2018-02-06 05:00:00.0000000","Left of Bedford Av entrance","Mitt Mutt","Paved Surface",8003,"","B-01",90,"Bedford Playground","","",11211,"POINT (-73.96416658049506 40.70828066350611)"
"Q",401,22,"Near Entrance","Q226","2017-12-21 05:00:00.0000000","on water path","Mutt Mitt","Unpaved Surface",3609,"Q226-02","Q-01",114,"Hallets Cove Playground","Parks","Hallets Point Playground (area B)",11102,"POINT (-73.93770313073492 40.77426454977635)"
"B",313,47,"Near Entrance","B129","2018-03-17 04:00:00.0000000","","Mitt Mutt","Unpaved Surface",6037,"B129-ZN02","B-13",60,"Kaiser Park","Parks","Kaiser Park Zone 2",11224,"POINT (-73.99798535455766 40.57967720197379)"
"X",202,17,"Park Perimeter","X116","","10 ft left of routed sign","Mitt Mutt","Wrought Iron Fence",3256,"","X-02",41,"Rev J Polite Playground","Parks","",10459,"POINT (-73.89781939998707 40.82696253480309)"
"Q",402,26,"Near Dog Run","Q341C","2017-12-28 05:00:00.0000000","alongside building adjacent dog run","Mitt Mutt","Unpaved Surface",3620,"","Q-02",108,"Sherry Dog Run","Parks","",11377,"POINT (-73.89907366036589 40.741217373100525)"
"B",316,41,"Near Entrance","B396","2018-03-19 04:00:00.0000000","10 ft L. of park signs on Mother Gaston","Mitt Mutt","Wrought Iron Fence",3227,"","B-16",73,"Nehemiah Park","","",11212,"POINT (-73.90498301833318 40.661814796216284)"
"B",303,41,"Near Entrance","B079","2018-03-09 05:00:00.0000000","R. of path inside Macon St entrance","Mitt Mutt","Unpaved Surface",8016,"","B-03",81,"Saratoga Park","","",11233,"POINT (-73.91780598922746 40.68515362100899)"
"Q",410,28,"Park Perimeter","Q119","2018-04-22 04:00:00.0000000","on 135th St. near 3rd base","Mitt Mutt","Unpaved Surface",6023,"","Q-10",106,"Frederick B. Judge Playground","Parks","",11420,"POINT (-73.80794595247609 40.683929321055686)"
"B",355,39,"Park Perimeter","B073","2018-04-10 04:00:00.0000000","","Mitt Mutt","Paved Surface",6010,"B073-ZN02","B-19",78,"Prospect Park","Parks","Prospect Park West",11215,"POINT (-73.97215801519496 40.66994468382196)"
"Q",405,32,"Near Entrance","Q020Group","2018-03-29 04:00:00.0000000","main staircase on Vermont Pl.","Mitt Mutt","Unpaved Surface",3637,"Q020-ZN01","Q-05A",104,"Highland Park","Parks","Highland Park Zone 1",11385,"POINT (-73.88966767410658 40.68685824911715)"
"Q",407,19,"Park Interior","Q089B","2017-12-06 05:00:00.0000000","just west of CS","Mitt Mutt","Unpaved Surface",6005,"","Q-07",109,"Harvey Park","Parks","",11357,"POINT (-73.82368841386649 40.78291665104893)"
"X",207,14,"Near Entrance","X044","","","Mitt Mutt","Wrought Iron Fence",16013,"","X-07",52,"St. James Park","Parks","",10468,"POINT (-73.89789423330788 40.86653646540572)"
"R",502,50,"","R038A","2018-02-27 05:00:00.0000000","Boundary Ave","Mitt Mutt","",29603,"","R-02B",122,"Midland Field","","",10306,"POINT (-74.09823773654183 40.57665063840923)"
"R",501,49,"Park Perimeter","R022","2018-06-21 04:00:00.0000000","Entrance near Forest Ave & Victory Blvd","Mitt Mutt","Unpaved Surface",28803,"R022-ZN02","R-01",120,"Silver Lake Park","Parks","Silver Lake Park Zone 2",10301,"POINT (-74.0891718308305 40.630286680402556)"
"X",207,11,"Park Interior","X104","","tunnel entrance. inside of park 20'","Mitt Mutt","Wrought Iron Fence",16416,"","X-07",52,"Williamsbridge Oval","Parks","",10467,"POINT (-73.87888781306214 40.87702214687058)"
"R",501,49,"Near Entrance","R042","2018-06-25 04:00:00.0000000","Near sidewalk","Mitt Mutt","Unpaved Surface",8809,"","R-01",120,"Kaltenmeier Playground","Parks","",10305,"POINT (-74.06854830803083 40.61487128523978)"
"R",502,50,"Park Perimeter","R038A","2018-05-10 04:00:00.0000000","exterior fence on the Midland Ave. side","Mitt Mutt","Chain Link Fence",24403,"","R-02B",122,"Midland Field","Parks","",10306,"POINT (-74.09839823829965 40.575321090391036)"
"Q",407,19,"Near Entrance","Q334","2018-07-24 04:00:00.0000000","21st Ave","Mitt Mutt","Paved Surface",16403,"","Q-07",109,"Playground Twenty One","Parks","",11357,"POINT (-73.79820398777579 40.778505263149384)"
"B",303,36,"Near Entrance","B313","2018-03-09 05:00:00.0000000","R. of MacDonough St entrance","Mitt Mutt","Paved Surface",8410,"","B-03",81,"El Shabazz Playground","","",11233,"POINT (-73.93070154511535 40.68257292322869)"
"X",212,11,"Park Interior","X002Group","","","Mitt Mutt","Paved Surface",21218,"X002-ZN05B","",47,"Bronx River Parks","Parks","Bronx River Parkway East (North Half)",10467,"POINT (-73.86437831553313 40.88939964214183)"
"X",201,8,"Park Perimeter","X041","","","Mitt Mutt","Chain Link Fence",3240,"","X-01",40,"Pulaski Park","","",10454,"POINT (-73.92495341483222 40.80565903789652)"
"X",207,14,"Near Entrance","X001","","","Mitt Mutt","Unpaved Surface",15208,"X001-ZN01","X-07",52,"Aqueduct Walk","Parks","Aqueduct Walk Zone 1",10468,"POINT (-73.90393673250445 40.862912875300246)"
"B",304,37,"Near Entrance","B017","2018-03-26 04:00:00.0000000","10 ft L. of Putnam Av south entrance","Mitt Mutt","Wrought Iron Fence",8018,"","B-04",83,"Bushwick Playground","","",11237,"POINT (-73.91143750706148 40.69564784572288)"
"M",103,1,"Park Interior","M017","","Small dog run far fence","Zero Waste USA","Chain Link Fence",32806,"","M-03",7,"Corlears Hook Park","","",10002,"POINT (-73.97906483516631 40.711736799716675)"
"X",207,14,"Near Entrance","X044","","","Mitt Mutt","Wrought Iron Fence",16415,"","X-07",52,"St. James Park","Parks","",10468,"POINT (-73.89751335935107 40.863761581519654)"
"B",301,34,"Near Entrance","B257","2018-01-19 05:00:00.0000000","Inside Frost St entrance btwn BBCT/PG","Mitt Mutt","Paved Surface",6060,"","B-01",94,"Frost Playground","","",11211,"POINT (-73.93906390901698 40.718906055802165)"
"B",301,33,"Park Perimeter","B223U","2018-02-06 05:00:00.0000000","Corner of Meeks and Graham","Mitt Mutt","Unpaved Surface",3212,"","B-01",94,"Lentol Garden","Parks","",11222,"POINT (-73.9456165209198 40.71971513813761)"
"B",316,37,"Near Entrance","B363","2018-03-27 04:00:00.0000000","Right of Powell St entrance","Mitt Mutt","Wrought Iron Fence",3229,"","B-16",73,"Houston Playground","","",11212,"POINT (-73.90471804985653 40.67237632534731)"
"Q",406,30,"Park Perimeter","Q306","2018-12-11 05:00:00.0000000","corner of Dieterle Cr. and Alderton St.","Mitt Mutt","Paved Surface",3252,"","Q-06",112,"The Painter's Playground","Parks","",11374,"POINT (-73.8594680184905 40.720873912286756)"
"Q",407,20,"Park Interior","Q300Group","2017-12-13 05:00:00.0000000","north side of courts along path","Mitt Mutt","Unpaved Surface",16003,"Q024-ZN02","Q-07",109,"Kissena Corridor Park","Parks","Kissena Park Zone 2 (Tennis Courts)",11365,"POINT (-73.81011862356729 40.74832076064971)"
"B",318,46,"Park Perimeter","B057","2018-03-01 05:00:00.0000000","","Mitt Mutt","Unpaved Surface",6012,"B057-ZN06","B-18",63,"Marine Park","Parks","Marine Park Zone 6",11234,"POINT (-73.92972367756194 40.599400412504885)"
"",207,14,"Park Perimeter","X013","","corner of University, behind bus stop","Mitt Mutt","Wrought Iron Fence",14804,"","X-05",52,"Devoe Park","Parks","",10468,"POINT (-73.90497157979327 40.86292433821191)"
"Q",412,27,"Park Perimeter","QT11","2018-02-06 05:00:00.0000000","corner of Brinkerhoff Av. and Fonda Av.","Mitt Mutt","Unpaved Surface",6033,"","Q-12",113,"Mall","Parks","",11412,"POINT (-73.77004998140058 40.70204014059123)"
"M",104,3,"Park Perimeter","M011","","","Mitt Mutt","Wrought Iron Fence",32404,"","M-04",10,"Chelsea Park","Parks","",10001,"POINT (-74.0000357884228 40.74998922918769)"
"R",502,50,"","R038A","2018-02-27 05:00:00.0000000","","Mitt Mutt","",25203,"","R-02B",122,"Midland Field","","",10306,"POINT (-74.09748940139268 40.57625337628281)"
"B",302,35,"Near Entrance","B220","2018-02-08 05:00:00.0000000","Right of Hall St entrance","Mitt Mutt","Paved Surface",8403,"","B-02",88,"Washington Hall Park","","",11205,"POINT (-73.96639343513688 40.695473177450324)"
"B",316,37,"Near Entrance","B219","2018-03-05 05:00:00.0000000","L. of entrance at Truxton/Sackman","Mitt Mutt","Unpaved Surface",3236,"","B-16",73,"Callahan-Kelly Playground","","",11233,"POINT (-73.90734774627128 40.67837505531691)"
"Q",401,26,"Park Perimeter","Q429","2018-04-23 04:00:00.0000000","outside HBCT 36th Ave 9th St.","Mitt Mutt","Unpaved Surface",3234,"","Q-01",114,"Spirit Playground","Parks","",11106,"POINT (-73.94153823355701 40.761528937499165)"
"B",304,34,"Near Entrance","B016","2018-04-13 04:00:00.0000000","Just inside Knickerbocker/Suydam entranc","Mitt Mutt","Unpaved Surface",8023,"","B-04",83,"Maria Hernandez Park","","",11237,"POINT (-73.92395995982369 40.70217304448282)"
"X",201,8,"Near Dog Run","X045","","","Mitt Mutt","Chain Link Fence",21603,"X045-ZN01","X-01",40,"St. Mary's Park","Parks","St Mary's Park Zone 1",10454,"POINT (-73.91226830305152 40.80961941210836)"
"R",503,51,"Park Interior","R079","","by Gazebo","Mitt Mutt","Paved Surface",17608,"","R-03",123,"Lemon Creek Park","Parks","",10309,"POINT (-74.19786719275767 40.511826353894755)"
"B",303,36,"Near Entrance","B262","2018-03-08 05:00:00.0000000","L. of Halsey St entrance on Tompkins Av","Mitt Mutt","Paved Surface",8408,"","B-03",79,"Potomac Playground","","",11216,"POINT (-73.94382347939879 40.68238503436466)"
"",207,14,"Park Perimeter","X013","","","Mitt Mutt","Wrought Iron Fence",14406,"","X-05",52,"Devoe Park","Parks","",10468,"POINT (-73.90774498348696 40.86294259436015)"
"Q",401,22,"Park Perimeter","Q066C","2018-03-27 04:00:00.0000000","Hoyt Ave. South near 24th St.","Mutt Mitt","Paved Surface",3605,"","Q-01",114,"Triborough Bridge Playground C","Parks","",11102,"POINT (-73.92217507209624 40.77368597051376)"
"R",501,49,"Park Perimeter","R170","2018-08-19 04:00:00.0000000","Near sidewalk","Mitt Mutt","Unpaved Surface",10403,"","R-01",120,"Stapleton Esplanade","Parks","",10304,"POINT (-74.07284104164098 40.627494072591425)"
"R",501,50,"Near Entrance","R029","2018-10-18 04:00:00.0000000","near path","Mitt Mutt","Unpaved Surface",30805,"","R-01",121,"Westerleigh Park","Partner Group","",10314,"POINT (-74.13512011911756 40.61945582340466)"
"Q",410,28,"Near Entrance","Q119","2018-04-22 04:00:00.0000000","on 111th Ave. near bleacher entrance","Mitt Mutt","Unpaved Surface",6022,"","Q-10",106,"Frederick B. Judge Playground","Parks","",11420,"POINT (-73.80849044077492 40.684031018794926)"
"X",212,12,"Near Entrance","X141","","","Mitt Mutt","Chain Link Fence",21211,"","X-12",47,"Rienzi Playground","Parks","",10466,"POINT (-73.85824824901823 40.88786262751407)"
"B",308,35,"Park Perimeter","B029","2018-03-29 04:00:00.0000000","","Mitt Mutt","Unpaved Surface",6044,"B029-ZN02","B-08",77,"Eastern Parkway","Parks","Eastern Parkway Mall Zone 2",11238,"POINT (-73.96240231609093 40.671751578698675)"
"M",103,1,"Park Perimeter","M194","","Catherine St fence","Mitt Mutt","Wrought Iron Fence",33207,"","M-03",5,"Alfred E. Smith Playground","Parks","",10038,"POINT (-73.99689509092104 40.71110960157749)"
"B",318,46,"Park Perimeter","B324","2018-02-28 05:00:00.0000000","","Mitt Mutt","Paved Surface",5648,"","B-18",63,"Jacob Joffe Fields","Parks","",11234,"POINT (-73.91891086814265 40.624705346423966)"
"Q",412,28,"Near Entrance","Q127","2018-02-06 05:00:00.0000000","157th St. in btw soccer and HBCTs","Mitt Mutt","Paved Surface",6053,"","Q-12",103,"Marconi Park","Parks","",11433,"POINT (-73.7952180884382 40.694155768682634)"
"X",203,15,"Near Entrance","X010","","","Mitt Mutt","Wrought Iron Fence",22404,"X010-ZN06","X-03",42,"Crotona Park","Parks","Hylan Park",10460,"POINT (-73.88747786804463 40.83830927389087)"
"R",501,49,"Park Perimeter","R114","2018-07-11 04:00:00.0000000","Sidewalk","Mitt Mutt","Wrought Iron Fence",7624,"","R-01",121,"Jennifer's Playground","Parks","",10314,"POINT (-74.16325516874079 40.62037339304553)"
"R",502,50,"Park Interior","R013Group","2018-05-10 04:00:00.0000000","In between ball fields # 4 & 5","Mitt Mutt","Unpaved Surface",2805,"R065-ZN08","R-02",121,"The Greenbelt","Parks","Willowbrook Park Recreational Area",10314,"POINT (-74.15548921883642 40.60675521104267)"
"",207,14,"Park Perimeter","","","middle of block. delete","Mitt Mutt","Paved Surface",16804,"","",52,"","Parks","",10468,"POINT (-73.89397621844317 40.87082140982972)"
"Q",407,19,"Park Interior","Q009","2017-12-06 05:00:00.0000000","outside fence of BBCTs","Mitt Mutt","Unpaved Surface",4804,"Q009-ZN02","Q-07",109,"Hermon A. MacNeil Park","Parks","MacNeil Park Zone 2",11356,"POINT (-73.85172983540753 40.793101779630945)"
"Q",408,24,"Near Entrance","Q320","","70th Rd. and 153rd St. entrance","Mitt Mutt","Unpaved Surface",23207,"","Q-08",107,"Vleigh Playground","Parks","",11367,"POINT (-73.81577850161028 40.730229412146116)"
"R",501,49,"Park Perimeter","R025","2018-08-16 04:00:00.0000000","Outside park","Mitt Mutt","Unpaved Surface",5627,"","R-01",120,"Mahoney Playground","Parks","",10301,"POINT (-74.08567034530407 40.64385585783197)"
"R",501,49,"Park Perimeter","R114","2018-07-11 04:00:00.0000000","Sidewalk corner","Mitt Mutt","Wrought Iron Fence",7233,"","R-01",121,"Jennifer's Playground","Parks","",10314,"POINT (-74.16257777908888 40.620230197465716)"
"Q",409,32,"Near Entrance","Q128","2018-03-30 04:00:00.0000000","88th St. mid-block","Mitt Mutt","Paved Surface",11615,"","Q-09",102,"London Planetree Playground","Parks","",11416,"POINT (-73.85346475293153 40.68584694950139)"
"X",205,14,"Near Entrance","X292","","","Mitt Mutt","Wrought Iron Fence",15207,"","X-05",46,"Mabel Hampton Playground","Parks","",10453,"POINT (-73.90400647114707 40.85475986241162)"
"X",206,15,"Park Perimeter","X108","","","Mitt Mutt","Wrought Iron Fence",7218,"","X-06",48,"Belmont Playground","Parks","",10457,"POINT (-73.88810689621455 40.85086814945354)"
"Q",401,22,"Near Entrance","Q298","2018-03-27 04:00:00.0000000","48th Street","Mutt Mitt","Unpaved Surface",3610,"","Q-01",114,"Paul Raimonda Playground","Parks","",11105,"POINT (-73.8971630326157 40.77263799817468)"
"X",226,11,"Park Perimeter","X092","","","Mitt Mutt","Unpaved Surface",20813,"X092-ZN09","X-13",50,"Van Cortlandt Park","Parks","NW Corner",10471,"POINT (-73.8964762504835 40.91100916304646)"
"X",207,11,"Park Perimeter","X033","","","Mitt Mutt","Unpaved Surface",16405,"X033-ZN04","X-07",52,"Mosholu Parkway","Parks","Mosholu Parkway Zone 4",10458,"POINT (-73.88235632650333 40.871968441435754)"
"Q",401,26,"Near Entrance","Q104","2018-03-27 04:00:00.0000000","By greenway north of Vernon Plgd","Mutt Mitt","Unpaved Surface",3209,"Q104-01","Q-01",114,"Queensbridge Park","Parks","Vernon Playground",11101,"POINT (-73.94675519816897 40.7571651868026)"
"X",205,14,"Near Entrance","X258","","","Mitt Mutt","Wrought Iron Fence",14808,"","X-05",46,"Cleopatra Playground","Parks","",10457,"POINT (-73.90401800913422 40.845521105741305)"
"Q",411,20,"Near Entrance","Q293","2017-11-30 05:00:00.0000000","on 202nd St. across from CS","Mitt Mutt","Paved Surface",6029,"","Q-11",111,"Saul Weprin Playground","Parks","",11364,"POINT (-73.7759586652026 40.74789071340625)"
"X",207,11,"Park Interior","X033","","","Mitt Mutt","Unpaved Surface",16007,"X033-ZN03","X-07",52,"Mosholu Parkway","Parks","Mosholu Parkway Zone 3",10458,"POINT (-73.88299201034988 40.875501498647104)"
"R",503,51,"Near Dog Run","R006","","inside dog run","Mitt Mutt","Chain Link Fence",18006,"R006-ZN02","R-03",123,"Conference House Park","Parks","Conference House Park Zone 2",10307,"POINT (-74.24973677606168 40.500478836527016)"
"X",204,16,"Park Interior","X047","","","Mitt Mutt","Unpaved Surface",13205,"X047-ZN01","X-04",44,"Franz Sigel Park","Parks","Franz Sigel Park Zone 1",10451,"POINT (-73.92582955929623 40.822481794124286)"
"B",304,34,"Near Entrance","B334","2018-03-27 04:00:00.0000000","20 ft R. of Troutman/Central entrance","Mitt Mutt","Wrought Iron Fence",8415,"","B-04",83,"Fermi Playground","","",11221,"POINT (-73.9288167393105 40.7002706855919)"
"B",315,44,"Park Perimeter","B065","2018-04-03 04:00:00.0000000","","Mitt Mutt","Unpaved Surface",6016,"B065-ZN08","B-12",61,"Ocean Parkway Malls","Parks","Ocean Parkway Malls Zone 8",11223,"POINT (-73.9656666458493 40.597685177324124)"
"X",227,15,"Park Interior","X002Group","","inside park adj to garden bed","Mitt Mutt","Unpaved Surface",20818,"X002-ZN02","",49,"Bronx River Parks","Parks","Bronx Park Zone 2",10467,"POINT (-73.87076188233169 40.86147850454965)"
"B",308,35,"Park Perimeter","B161","2018-03-12 04:00:00.0000000","10 ft L of park sign on Prospect Pl","Mitt Mutt","Wrought Iron Fence",6058,"","B-08",77,"James Forten Playground","","",11238,"POINT (-73.96581605434913 40.676928421324085)"
"B",302,35,"Park Interior","B032","2018-04-23 04:00:00.0000000","","Mitt Mutt","Unpaved Surface",12007,"B032-ZN02","B-02",88,"Fort Greene Park","Parks","Fort Greene Park Zone 2",11201,"POINT (-73.97478470788036 40.69014569358823)"
"X",203,15,"Park Perimeter","X010","","","Mitt Mutt","Wrought Iron Fence",7206,"X010-ZN06","X-03",42,"Crotona Park","Parks","Hylan Park",10460,"POINT (-73.88851184756126 40.839162623615856)"
"Q",412,27,"Near Entrance","Q051","2018-02-08 05:00:00.0000000","left of staircase","Mitt Mutt","Unpaved Surface",5642,"","Q-12",113,"Archie Spigner Park","Parks","",11433,"POINT (-73.78149080199938 40.69228087573878)"
"X",211,13,"Near Entrance","X172","","","Mitt Mutt","Chain Link Fence",21206,"","X-11",49,"Allerton Playground","Parks","",10469,"POINT (-73.85088735379014 40.866028425556046)"
"",313,48,"Near Entrance","","2018-03-17 04:00:00.0000000","Left of Brighton 4 St entrance","Mitt Mutt","Wrought Iron Fence",3247,"","",60,"","","",11235,"POINT (-73.96436234319982 40.582318748350126)"
"M",103,1,"Park Perimeter","M241","","At Attorney St entrance","Mitt Mutt","Wrought Iron Fence",34005,"","M-03",7,"Nathan Straus Playground","Parks","",10002,"POINT (-73.98394188299551 40.71958149054529)"
"Q",414,31,"Near Entrance","Q371","2018-03-19 04:00:00.0000000","Almeda Av and B. 54th St.","Mitt Mutt","Unpaved Surface",11606,"","Q-14",101,"Rockaway Community Park","Parks","",11691,"POINT (-73.7848624815581 40.59783638347033)"
"X",204,16,"Park Perimeter","X008","","","Mitt Mutt","Wall",7619,"X008-ZN01","X-04",44,"Claremont Park","Parks","Claremont Zone 1",10457,"POINT (-73.90895692749466 40.83987715078453)"
"B",310,50,"Park Perimeter","B028","2018-03-06 05:00:00.0000000","","Mitt Mutt","Paved Surface",3641,"B028-ZN02","B-10",68,"Dyker Beach Park","Parks","Dyker Beach Park Zone 2",11228,"POINT (-74.01198222081898 40.612597467099334)"
"R",502,50,"Park Interior","R063","2018-05-10 04:00:00.0000000","by basketball court","Mitt Mutt","Chain Link Fence",27203,"","R-02",122,"Old Town Playground","Parks","",10305,"POINT (-74.08123881554359 40.595385368332074)"
"B",302,35,"Near Entrance","B026","2018-02-02 05:00:00.0000000","Inside fenceline, Fulton/Cumberland entr","Mitt Mutt","Unpaved Surface",5659,"","B-02",88,"Cuyler Gore Park","","",11238,"POINT (-73.97225962735436 40.68556004359842)"
"R",503,51,"Park Interior","R172","","Parking Lot Entrance","Mitt Mutt","Paved Surface",20405,"R172-ZN01","R-03",121,"Brookfield Park","Parks","Brookfield Park Zone 1",10308,"POINT (-74.16168804941745 40.5631529996225)"
"R",595,50,"Park Interior","R046","2018-02-28 05:00:00.0000000","On boardwalk behind Dolphin Circle","Mitt Mutt","Pipe Rail",2403,"R046-ZN01","R-02B",122,"Franklin D. Roosevelt Boardwalk and Beach","Parks","South Beach Zone 1",10305,"POINT (-74.06536702521633 40.58989445514992)"
