"Borough","CommunityBoard","CouncilDistrict","DispenserUnitLocation","GISPropNum","InstallationDate","Location","Manufacturer","MountingSurface","OBJECTID","OMPPropID","ParkDistrict","Precinct","PropertyName","RestockedBy","SubPropertyName","ZIPCode","point"
"M",107,6,"Park Perimeter","MT03","","","Mitt Mutt","Wrought Iron Fence",32003,"","M-07",20,"Arsenal West","","",10023,"POINT (-73.9830422063485 40.76983178402159)"
"B",304,37,"Near Entrance","B381","2018-04-23 04:00:00.0000000","R. of Granite St entrance","Mitt Mutt","Chain Link Fence",8026,"","B-04",83,"Thomas Boyland Park","","",11207,"POINT (-73.90822442304092 40.6820241324572)"
"B",303,33,"Near Entrance","B105","2018-03-06 05:00:00.0000000","The left of northern Taaf","Mitt Mutt","Paved Surface",8013,"","B-03",79,"Taaffe Playground","","",11205,"POINT (-73.96058304087909 40.69581328579977)"
"X",203,17,"Park Perimeter","X273","","","Mitt Mutt","Wrought Iron Fence",7617,"","X-03",42,"Rock Garden Park","Parks","",10460,"POINT (-73.88476847238204 40.83545344599096)"
"B",312,38,"Park Perimeter","B162","2018-03-06 05:00:00.0000000","On 10 Av near 43 St","Mitt Mutt","Paved Surface",3249,"","B-12",66,"Brizzi Playground","","",11219,"POINT (-73.99498265685583 40.642487749347936)"
"B",306,38,"Park Perimeter","B126","2018-01-30 05:00:00.0000000","On Lorraine St adj PG","Mitt Mutt","Unpaved Surface",5657,"B126-01","B-06",76,"Red Hook Recreation Area","","Bush Clinton Park",11231,"POINT (-74.00317440230572 40.67340276825225)"
"R",502,50,"Park Interior","R073","2018-05-10 04:00:00.0000000","on path between basketball & ballfield","Mitt Mutt","Chain Link Fence",27604,"","R-02",122,"Naples Playground","Parks","",10304,"POINT (-74.09026097651073 40.6029003087331)"
"R",501,49,"Park Perimeter","R048","2018-10-18 04:00:00.0000000","Sidewalk","Mitt Mutt","Chain Link Fence",31603,"","R-01",120,"Jones Woods Park","Parks","",10301,"POINT (-74.08982974866447 40.63879919276138)"
"R",501,49,"Park Perimeter","R170","2018-08-19 04:00:00.0000000","Near sidewalk","Mitt Mutt","Unpaved Surface",10804,"","R-01",120,"Stapleton Esplanade","Parks","",10304,"POINT (-74.07295856866308 40.62836053155967)"
"B",355,39,"Park Perimeter","B073","2018-04-10 04:00:00.0000000","","Mitt Mutt","Paved Surface",6046,"B073-ZN09","B-19",78,"Prospect Park","Parks","Ocean Ave",11215,"POINT (-73.96279153714701 40.65923084267491)"
"Q",408,24,"Near Entrance","Q052","","Highland Ave. right entrance","Mitt Mutt","Unpaved Surface",23204,"","Q-08",107,"Captain Tilly Park","Parks","",11432,"POINT (-73.79798438328739 40.711011150120704)"
"M",103,1,"Park Interior","M019","","Near dog run entrance","Mitt Mutt","Chain Link Fence",33205,"","M-03",5,"Coleman Playground","Parks","",10002,"POINT (-73.99328230248112 40.71110406058702)"
"X",201,17,"Park Perimeter","X235","","","Mitt Mutt","Chain Link Fence",3244,"","X-01",40,"Grove Hill Playground","Parks","",10456,"POINT (-73.90929863696492 40.81990596981354)"
"X",205,14,"Near Entrance","X283","","","Mitt Mutt","Wrought Iron Fence",15204,"","X-05",46,"Beanstalk Playground","Parks","",10453,"POINT (-73.9169737166709 40.85385406766307)"
"B",306,39,"Near Dog Run","B223A","2018-01-29 05:00:00.0000000","Outside Hicks St dog run entrance","Mitt Mutt","Paved Surface",6063,"","B-06",76,"Dimattina Playground","","",11231,"POINT (-74.00315736050062 40.67980634596087)"
"X",202,17,"Park Perimeter","X260","","corner of Manida and Lafayette on CLF","Mitt Mutt","Chain Link Fence",3646,"","X-02",41,"Julio Carballo Fields","Parks","",10474,"POINT (-73.88897578748563 40.81634492330853)"
"Q",481,21,"Park Interior","Q099","","Corner of lawn opposite fountain","Mitt Mutt","Unpaved Surface",18403,"Q099-ZN19","Q-15",110,"Flushing Meadows Corona Park","Parks","Ballfields",11368,"POINT (-73.84834789221499 40.74318511152677)"
"B",303,36,"Near Entrance","B323","2018-03-24 04:00:00.0000000","To the right of Monroe St entrance","Mitt Mutt","Unpaved Surface",3226,"","B-03",79,"Hattie Carthan Playground","","",11216,"POINT (-73.9464733253724 40.68588022811732)"
"B",355,39,"Near Entrance","B073","2017-12-14 05:00:00.0000000","Along path leading to PP Garage ENT","Mitt Mutt","Unpaved Surface",1203,"B073-ZN04","B-19",78,"Prospect Park","Parks","The Bandshell",11215,"POINT (-73.9758454163293 40.66540414434075)"
"X",209,18,"Near Dog Run","X118","","","Mitt Mutt","Chain Link Fence",17215,"X118-ZN04","X-09",43,"Soundview Park","Parks","Soundview Park Zone 4",10473,"POINT (-73.8779469559642 40.81891731410655)"
"X",204,16,"Park Perimeter","X008","","","Mitt Mutt","Wall",7224,"X008-ZN03","X-04",44,"Claremont Park","Parks","Claremont Zone 3",10457,"POINT (-73.90810130330321 40.837281755669814)"
